EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO NACIONAL OSTRICOLA AC,EVENTO,FESTIVAL DE LAS CONCHAS Y VINO NUEVO,1200000,700000,OSTION,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO NACIONAL OSTRICOLA AC-XX-XX-02001XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,IPSOS BIMSA SA DE CV,ESTUDIO,ESTUDIO NACIONAL DE HABITOS Y CONSUMO DE PESCADOS Y MARISCOS PRODUCIDOS EN MEXICO,1999469,1999469,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAJIMALPA DE MORELOS,9004,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,IPSOS BIMSA SA DE CV-XX-XX-09004XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 2015,4000000,4000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09014XXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2016,1000000,1000000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",LIFESTYLE DESIGNERS DE RL,EVENTO,MERCADO DE PESCADOS Y MARISCOS MEXICANOS 2015,2288000,2288000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,LIFESTYLE DESIGNERS DE RL-XX-XX-XXXXXXXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",EVENTOS SOCIALES Y GASTRONOMICOS DE LA PENA MELO SA DE CV,EVENTO,"EVENTO NACIONAL PARA LA PROMOCION DEL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS, PABELLON PESQUERO Y ACUICOLA, DENTRO DEL EVENTO MEXICO ALIMENTARIA 2016, FOOD SHOW",4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,OAXACA,20,OAXACA DE JUAREZ,20067,OAXACA DE JUAREZ,200670001,MORAL,200670001,NA,NA,No Disponible,FOMENTO AL CONSUMO,EVENTOS SOCIALES Y GASTRONOMICOS DE LA PENA MELO SA DE CV-XX-XX-200670001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PRODUCCIONES QUE DESPIERTAN SA DE CV,EVENTO,INFOGRAFIA DEL SECTOR PESQUERO Y ACUICOLA MEXICANO EN EL MARCO DE LA QUINTA CUMBRE MUNDIAL DE LOS OCEANOS,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PRODUCCIONES QUE DESPIERTAN SA DE CV-XX-XX-09015XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PUBLICIDAD SILVA HERMANOS Y ASOCIADOS SA DE CV,EVENTO,EXPO CUMBRE,700000,700000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PUBLICIDAD SILVA HERMANOS Y ASOCIADOS SA DE CV-XX-XX-09014XXXX
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO DE BAJA SEAFOOD EXPO AC,EVENTO,EXPOCOMERCIAL BAJA SEAFOOD EXPO,900000,900000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO DE BAJA SEAFOOD EXPO AC-XX-XX-020010001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2018 (COMEPESCA),350000,350000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",NDC CONSULTING GROUP S DE RLDE CV,EVENTO,UNA AVENTURA MARINA 2019,1264923,260000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,NA,9,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,NDC CONSULTING GROUP S DE RLDE CV-XX-XX-09XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC,EVENTO,FERIA NACIONAL DE TILAPIA,714515,714515,TILAPIA,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC-XX-XX-XXXXXXXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",AQUAMAR INTERNACIONAL SA DE CV,EVENTO,FERIA NACIONAL CALAMAR 2014,1000000,1000000,CALAMAR,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,AQUAMAR INTERNACIONAL SA DE CV-XX-XX-09015XXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ACUACULTORES DE AHOME AC,EVENTO,CONGRESO DE ACUACULTURA DE CAMARÓN (CONACUA) 2019,1961300,500000,CAMARÓN,ESTATAL,PACIFICO NORTE,SINALOA,25,LOS MOCHIS,25,LOS MOCHIS,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ACUACULTORES DE AHOME AC-XX-XX-25XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ORGANIZACION Y PROYECTO DE EXPOSICIONES SA DE CV,EVENTO,EMISION DE UN BILLETE DE LOTERIA ALUSIVO AL SECTOR PESQUERO Y ACUICOLA DE MEXICO COMO GENERADOR DE ALIMENTOS NUTRITIVOS PARA LA POBLACION,800000,800000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. ALVARO OBREGON,9010,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ORGANIZACION Y PROYECTO DE EXPOSICIONES SA DE CV-XX-XX-09010XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION DE PRODUCTORES DE PECES DE ORNATO DEL ESTADO DE MORELOS AC,EVENTO,FERIA REGIONAL DE ACUARISMO MORELOS 2014,150000,150000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. ALVARO OBREGON,9010,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ASOCIACION DE PRODUCTORES DE PECES DE ORNATO DEL ESTADO DE MORELOS AC-XX-XX-09010XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,"LA SUSTENTABILIDAD EN EL CONSUMO DE PESCADOS Y MARISCOS, UN IMPULSO PARA LA PRESENCIA EN EL MERCADO MEXICANO, DENTRO DEL EVENTO DEL 10° FORO INTERNACIONAL DE ACUICULTURA ",1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,ZAPOPAN,14120,ZAPOPAN,141200001,MORAL,141200001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-141200001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",AQUAMAR INTERNACIONAL SA DE CV,EVENTO,"AQUAFEST 2017, DELICIAS DEL MAR",1500000,1500000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,AQUAMAR INTERNACIONAL SA DE CV-XX-XX-09015XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2015,1500000,1500000,PESCADOS Y MARISCOS,REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,ODS: VIDA SUBMARINA ACUICULTURA SOSTENIBLE PARA DISMINUIR LA PRESIÓN SOBRE LOS RECURSOS PESQUEROS DENTRO DEL MARCO DEL 14° FORO INTERNACIONAL DE ACUICULTURA,1500000,750000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-25012XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV,ESTUDIO,"FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS EN NINOS EN EDAD ESCOLAR, INTEGRANTES DE FAMILIAS INSCRITAS EN EL PROGRAMA PROSPERA EN ZAPOPAN, JALISCO",1000000,1000000,PESCADOS Y MARISCOS,REGIONAL,PACIFICO SUR,JALISCO,14,ZAPOPAN,14120,ZAPOPAN,141200001,MORAL,141200001,NA,NA,No Disponible,FOMENTO AL CONSUMO,TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV-XX-XX-141200001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO BAJA SEAFOOD EXPO AC,EVENTO,"DESARROLLO INTEGRAL DEL MERCADO NACIONAL PARA LOS PRODUCTOS PESQUEROS Y ACUICOLA DE BAJA CALIFORNIA, FOMENTO AL CONSUMO DE NUESTROS PESCADOS Y MARISCOS MEDIANTE DOS FESTIVALES GASTRONÓMICOS EN EL SURESTE Y CENTRO DEL PAÍS",700000,500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,NA,2,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO BAJA SEAFOOD EXPO AC-XX-XX-02XXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 12° EDICION,4500000,4500000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09015XXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ACUACULTURA INTEGRAL DE BAJA CALIFORNIA SA DE CV,EVENTO,FESTIVAL DE LAS CONCHAS Y EL VINO NUEVO 2018,1200000,1200000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,ACUACULTURA INTEGRAL DE BAJA CALIFORNIA SA DE CV-XX-XX-020010001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",NDC CONSULTING SRL DE CV,EVENTO,UNA AVENTURA MARINA 2017,500000,500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. MIGUEL HIDALGO,9016,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,NDC CONSULTING SRL DE CV-XX-XX-09016XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,CAMPANA,CAMAPANA INTEGRAL I DE PROMOCION DE FOMENTO AL CONSUMO DE PESCADOS Y MARISCOS MEXICANOS,30000000,30000000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-XXXXXXXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",GRUPO PENTANO SA DE CV,EVENTO,FESTIVAL DELICIAS DEL MAR,3000000,3000000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAUHTEMOC,9015,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,GRUPO PENTANO SA DE CV-XX-XX-09015XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION ESPECIES PRODUCTO TRUCHA PARA EL ESTADO DE PUEBLA AC,EVENTO,FERIA NACIONAL DE TRUCHA 2014,400000,400000,TRUCHA,REGIONAL,AGUAS INTERIORES,PUEBLA,21,PUEBLA,21114,HEROICA PUEBLA DE ZARAGOZA,211140001,MORAL,211140001,NA,NA,No Disponible,FOMENTO AL CONSUMO,ASOCIACION ESPECIES PRODUCTO TRUCHA PARA EL ESTADO DE PUEBLA AC-XX-XX-211140001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",ASOCIACION NACIONAL DE TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES,EVENTO,EVENTO NACIONAL EXPO ANTAD 2017,426068,426068,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,GUADALAJARA,14039,GUADALAJARA,140390001,MORAL,140390001,NA,NA,No Disponible,FOMENTO AL CONSUMO,ASOCIACION NACIONAL DE TIENDAS DE AUTOSERVICIO Y DEPARTAMENTALES-XX-XX-140390001
