EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESFERA SOCIAL SC,ESTUDIO,ESTUDIO DE MERCADO Y EVALUACION DE PRODUCTOS CON BASE EN PESCADO,745428,745428,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. COYOACAN,9003,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ESFERA SOCIAL SC-XX-XX-09003XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV,EVENTO,"TEQUILA, MAR Y VINO",1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,SAN PEDRO TLAQUEPAQUE,14098,TLAQUEPAQUE,140980001,MORAL,140980001,NA,NA,No Disponible,FOMENTO AL CONSUMO,TECNOLOGIA Y PLANEACION PARA EL DESARROLLO SUSTENTABLE SA DE CV-XX-XX-140980001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,EVENTO,9NA FERIA DE LA SARDINA,150000,150000,SARDINA,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",AQUAMAR INTERNACIONAL SA DE CV,EVENTO,AQUAFEST 2015,1500000,1500000,PESCADOS Y MARISCOS,ESTATAL,GOLFO DE MEXICO,VERACRUZ,30,BOCA DEL RIO,30028,BOCA DEL RIO,300280001,MORAL,300280001,NA,NA,No Disponible,FOMENTO AL CONSUMO,AQUAMAR INTERNACIONAL SA DE CV-XX-XX-300280001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESFERA SOCIAL SC,ESTUDIO,MEDICION DE FRECUENCIA DE CONSUMO DE PESCADOS Y MARISCOS E IMPACTO DE CAMPANAS A TRAVES DE UN ESTUDIO CUALITATIVO Y CUANTITATIVO,2000000,2000000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. TLALPAN,9012,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ESFERA SOCIAL SC-XX-XX-09012XXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,SEGURIDAD ALIMENTARIA Y DEMANDA DE PESCADOS Y MARISCOS EN EL MARCO DEL 11º FORO INTERNACIONAL DE ACUICULTURA,750000,750000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,ZAPOPAN,14120,ZAPOPAN,141200001,MORAL,141200001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-141200001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,EN EL MARCO DEL EVENTO 12° FORO INTERNACIONAL DE ACUICULTURA,2000000,2000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,ZAPOPAN,14120,ZAPOPAN,141200001,MORAL,141200001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-141200001
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"DIFUSION. MATERIAL IMPRESO, DIGITAL Y AUDIOVISUAL, ASI COMO MATERIAL INFORMATIVO, DIDACTICO Y PUBLICITARIO",ALIMENTOS CONGELADOS DEL MAR SA DE CV (CHEYSON FOODS),DIFUSIÓN,ACCIONES PARA FOMENTO AL CONSUMO,248000,200000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,COAHUILA,NA,TORREÓN,NA,TORREÓN,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ALIMENTOS CONGELADOS DEL MAR SA DE CV (CHEYSON FOODS)-XX-XX-XXXXXXXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO DE BAJA SEAFOOD EXPO AC,EVENTO,BAJA SEAFOOD 2015,1100000,1100000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO DE BAJA SEAFOOD EXPO AC-XX-XX-020010001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,EVENTO,3ER CONCURSO GASTRONOMICO DE LA SARDINA SUDCALIFORNIANA,93839,93839,SARDINA,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,LA PAZ,3003,LA PAZ,30030001,MORAL,30030001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-030030001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",XCD DESARROLLADORA SA DE CV,EVENTO,EXPO ANTAD 2016,500000,500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,GUADALAJARA,14039,GUADALAJARA,140390001,MORAL,140390001,NA,NA,No Disponible,FOMENTO AL CONSUMO,XCD DESARROLLADORA SA DE CV-XX-XX-140390001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,CAMPANA,CAMPANA INTEGRAL I DE FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,21000000,21000000,PESCADOS Y MARISCOS,NACIONAL Y REGIONAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-XXXXXXXXX
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",JUANA LETICIA FRAGOZO,EVENTO,PABELLON PESQUERO Y ACUICOLA EN EL MARCO DE LA EXPO MEXICO ALIMENTARIA 2017 FOOD SHOW,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. MIGUEL HIDALGO,9016,NA,NA,FISICA,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,JUANA LETICIA FRAGOZO-XX-XX-09016XXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",GRUPO CONSULTOR VEER SC,EVENTO,EXPO FERIA DE PESCADOS Y MARISCOS DE NAYARIT 2019,2262264,1000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,NAYARIT,18,TEPIC,18017,TEPIC,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,GRUPO CONSULTOR VEER SC-XX-XX-18017XXXX
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,IPSOS BIMSA SA DE CV,ESTUDIO,ESTUDIO DE MERCADO PARA EVALUAR CUALITATIVA Y CUANTITATIVAMENTE LAS CAMPANAS DE PROMOCION DE FOMENTO AL CONSUMO 2015,1718000,1718000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. CUAJIMALPA DE MORELOS,9004,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,IPSOS BIMSA SA DE CV-XX-XX-09004XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,FIACUI,2000000,2000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,ZAPOPAN,14120,ZAPOPAN,141200001,MORAL,141200001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-141200001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",UNION ESTATAL DE PESCA Y ACUACULTURA BCS,EVENTO,1ER FORO ACUICOLA Y PESQUERO DE LA CONFEDERACION NACIONAL CAMPESINA,1500000,1500000,PESCADOS Y MARISCOS,NACIONAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,LA PAZ,3003,LA PAZ,30030001,MORAL,30030001,NA,NA,No Disponible,FOMENTO AL CONSUMO,UNION ESTATAL DE PESCA Y ACUACULTURA BCS-XX-XX-030030001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",LATIN AMERICAN AND CARIBBEAN CHAPTER OF WAS AC,EVENTO,LACQUA17: CONSOLIDANDO EL DESARROLLO DE LA ACUACULTURA Y FOMENTANDO EL CONSUMO DE PRODUCTOS ACUICOLAS,2000000,2000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA SUR,3,LA PAZ,3003,LA PAZ,30030001,MORAL,30030001,NA,NA,No Disponible,FOMENTO AL CONSUMO,LATIN AMERICAN AND CARIBBEAN CHAPTER OF WAS AC-XX-XX-030030001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO DE AGROBAJA AC,EVENTO,EVENTO NACIONAL AGROBAJA 2014,904394,904394,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,MEXICALI,2002,MEXICALI,20020001,MORAL,20020001,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO DE AGROBAJA AC-XX-XX-020020001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO NACIONAL DEL BAGRE DE TAMAULIPAS AC,EVENTO,FERIA NACIONAL DEL BAGRE 2014,414515,414515,BAGRE,ESTATAL,PACIFICO SUR,MICHOACAN,16,MORELIA,16053,MORELIA,160530001,MORAL,160530001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO NACIONAL DEL BAGRE DE TAMAULIPAS AC-XX-XX-160530001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CENTRO DE INVESTIGACION Y DESARROLLO COSTERO SC,EVENTO,FERIA GASTRONOMICA,320000,320000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CENTRO DE INVESTIGACION Y DESARROLLO COSTERO SC-XX-XX-020010001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 2017,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09014XXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO ,CONSEJO MEXICANO DE PROMOCION DE LOS PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,CAMPAÑA,CAMPAÑA DE PROMOCIÓN DE CONSUMO DE PESCADOS Y MARISCOS MEXICANOS 2019,4500000,1500000,PESCADOS Y MARISCOS,NACIONAL,SIN ESPECIFICAR,NACIONAL,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-XXXXXXXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV,EVENTO,PESCAMAR 2016,4000000,4000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. GUSTAVO A. MADERO,9005,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SERVICIOS Y SOLUCIONES PARA EXPOSICIONES Y EVENTOS SA DE CV-XX-XX-09005XXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO,EVENTO,EVENTO NACIONAL DE TILAPIA ZACATECAS 2019,1500000,1000000,TILAPIA,ESTATAL,AGUAS INTERIORES,ZACATECAS,NA,ZACATECAS,NA,ZACATECAS,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO-XX-XX-XXXXXXXXX
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PATRONATO DE AGROBAJA AC,EVENTO,EVENTO NACIONAL AGROBAJA 2016,833094,833094,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,MEXICALI,2002,MEXICALI,20020001,MORAL,20020001,NA,NA,No Disponible,FOMENTO AL CONSUMO,PATRONATO DE AGROBAJA AC-XX-XX-020020001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESARROLLO SOCIAL Y EMPRESARIAL DESDE LO LOCAL AC,EVENTO,"LA ISLA DEL SABOR, DENTRO DEL EVENTO ""PAPIROLAS 2015"" ",2000000,2000000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO SUR,JALISCO,14,TLAJOMULCO DE ZUNIGA,14097,TLAJOMULCO DE ZUNIGA,140970001,MORAL,140970001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESARROLLO SOCIAL Y EMPRESARIAL DESDE LO LOCAL AC-XX-XX-140970001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,EVENTO,PABELLÓN PESQUERO Y ACUÍCOLA 2018,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",COMITE NACIONAL SISTEMA PRODUCTO JAIBA AC,EVENTO,1ER FESTIVAL DEL MAR,300000,300000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SONORA,26,HERMOSILLO,26030,HERMOSILLO,260300001,MORAL,260300001,NA,NA,No Disponible,FOMENTO AL CONSUMO,COMITE NACIONAL SISTEMA PRODUCTO JAIBA AC-XX-XX-260300001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ALEJANDRO GODOY ROMERO,ESTUDIO,ESTUDIO PARA LA ELABORACION Y CONCEPTO DE PUNTO DE VENTA DE PESCADOS Y MARISCOS,600000,600000,PESCADOS Y MARISCOS,REGIONAL,PACIFICO NORTE,SONORA,26,HERMOSILLO,26030,HERMOSILLO,260300001,FISICA,260300001,NA,NA,No Disponible,FOMENTO AL CONSUMO,ALEJANDRO GODOY ROMERO-XX-XX-260300001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",EVENTAGE MEXICO SA DE CV,EVENTO,FORO ECONOMICO DE PESCA Y ACUACULTURA 2015,1266906,1266906,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. IZTAPALAPA,9007,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,EVENTAGE MEXICO SA DE CV-XX-XX-09007XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,FERIA NACIONAL DE CUARESMA 2014,1415896,1415896,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-09014XXXX
